wind_gen,solar_gen,hour,datetime,day,month,year
0.865179996,0,0,2012-01-01T08:00:00Z,1,1,2012
0.865179996,0,1,2012-01-01T09:00:00Z,1,1,2012
0.865179996,0,2,2012-01-01T10:00:00Z,1,1,2012
0.865179996,0,3,2012-01-01T11:00:00Z,1,1,2012
0.865179996,0,4,2012-01-01T12:00:00Z,1,1,2012
0.865179996,0,5,2012-01-01T13:00:00Z,1,1,2012
0.865179996,0,6,2012-01-01T14:00:00Z,1,1,2012
0.865179996,0,7,2012-01-01T15:00:00Z,1,1,2012
0.865179996,0.061051905,8,2012-01-01T16:00:00Z,1,1,2012
0.827595617,0.562259838,9,2012-01-01T17:00:00Z,1,1,2012
0.462968415,0.600890686,10,2012-01-01T18:00:00Z,1,1,2012
0.3576731,0.549265151,11,2012-01-01T19:00:00Z,1,1,2012
0.319342393,0.495170872,12,2012-01-01T20:00:00Z,1,1,2012
0.228454614,0.484923525,13,2012-01-01T21:00:00Z,1,1,2012
0.275937869,0.517537768,14,2012-01-01T22:00:00Z,1,1,2012
0.289523513,0.316909351,15,2012-01-01T23:00:00Z,1,1,2012
0.318128586,0.400815311,16,2012-01-02T00:00:00Z,1,1,2012
0.314453394,0,17,2012-01-02T01:00:00Z,1,1,2012
0.605275085,0,18,2012-01-02T02:00:00Z,1,1,2012
0.806488095,0,19,2012-01-02T03:00:00Z,1,1,2012
0.69955431,0,20,2012-01-02T04:00:00Z,1,1,2012
0.76749293,0,21,2012-01-02T05:00:00Z,1,1,2012
0.848806271,0,22,2012-01-02T06:00:00Z,1,1,2012
0.865179996,0,23,2012-01-02T07:00:00Z,1,1,2012
0.865179996,0,0,2012-01-02T08:00:00Z,2,1,2012
0.865179996,0,1,2012-01-02T09:00:00Z,2,1,2012
0.758218685,0,2,2012-01-02T10:00:00Z,2,1,2012
0.603742555,0,3,2012-01-02T11:00:00Z,2,1,2012
0.571840717,0,4,2012-01-02T12:00:00Z,2,1,2012
0.46367163,0,5,2012-01-02T13:00:00Z,2,1,2012
0.53628301,0,6,2012-01-02T14:00:00Z,2,1,2012
0.468447291,0,7,2012-01-02T15:00:00Z,2,1,2012
0.374312705,0.076977794,8,2012-01-02T16:00:00Z,2,1,2012
0.264307839,0.594049715,9,2012-01-02T17:00:00Z,2,1,2012
0.190067699,0.627675655,10,2012-01-02T18:00:00Z,2,1,2012
0.156239472,0.577162463,11,2012-01-02T19:00:00Z,2,1,2012
0.166549751,0.518582163,12,2012-01-02T20:00:00Z,2,1,2012
0.185845808,0.506081142,13,2012-01-02T21:00:00Z,2,1,2012
0.147579751,0.538154851,14,2012-01-02T22:00:00Z,2,1,2012
0.098732417,0.548277589,15,2012-01-02T23:00:00Z,2,1,2012
0.086149971,0.430728541,16,2012-01-03T00:00:00Z,2,1,2012
0.055932446,0,17,2012-01-03T01:00:00Z,2,1,2012
0.024009118,0,18,2012-01-03T02:00:00Z,2,1,2012
0,0,19,2012-01-03T03:00:00Z,2,1,2012
0,0,20,2012-01-03T04:00:00Z,2,1,2012
0,0,21,2012-01-03T05:00:00Z,2,1,2012
