pid,slr_cpc,wnd_cpc,slr_wn,tx_cpct,revenue,cost,profit,lon,lat,t_state,t_county,p_name,p_year
1,0.67022141,0.6,1.117035684,0.6,234259.3974,101112.8123,133146.5851,-85.690193,44.776993,MI,Leelanau County,Traverse City,1996
2,8.086962382,6.05,1.336687997,6.05,2198378.982,1103430.945,1094948.037,-72.962913493316,42.861778270883804,VT,Bennington County,Green Mountain Power,1997
3,0.854988409,2.25,0.379994849,2.25,509210.6647,281440.5832,227770.0814,-94.1408333390408,43.0349016667702,IA,Kossuth County,IDGWP,1998
4,90.54091028,104.25,0.86849794,104.25,26100611.91,15970438.59,10130173.32,-96.3778812101317,44.3245535329593,MN,Lincoln County,Lake Benton I,1998
5,1.227316622,1.32,0.92978532,1.32,339081.3599,205883.225,133198.1349,-96.6248245055821,40.9037610100505,NE,Lancaster County,Lincoln Wind Energy Facility,1998
6,28.00379472,25.08,1.116578737,25.08,7070084.512,4214738.521,2855345.992,-118.639662410473,45.9317043280634,OR,Umatilla County,Vansycle I,1998
7,0,1.3,0,1.124733995,181568.6516,126613.6019,54955.04965,-106.247237997006,41.8402420013071,WY,Carbon County,Medicine Bow,1998
8,17.58456734,38.25,0.459727251,38.25,10330324.04,4843963.986,5486360.058,-116.710015078108,33.914217291311,CA,Riverside County,Cabazon,1999
9,3.397729002,11.9,0.285523446,11.9,3986321.087,1401731.825,2584589.262,-118.314636480555,35.0781826310996,CA,Kern County,Cameron Ridge,1999
10,12.77158644,14.25,0.89625168,14.25,5031832.453,2193248.424,2838584.029,-116.573809813245,33.9158663543466,CA,Riverside County,Enron Earth Smart/Green Power,1999
11,7.631973785,23.1,0.330388476,23.1,7028037.771,2774368.095,4253669.676,-118.361703093603,35.0342534820203,CA,Kern County,Oak Creek Wind Power Phase 2,1999
12,51.56919106,43.4,1.188230209,43.4,14039927.35,7475545.109,6564382.243,-116.571908015412,33.8981045441132,CA,Riverside County,San Gorgonio Westwinds II LLC,1999
13,0.202372864,0.6,0.337288107,0.6,149015.1451,72857.13636,76158.00878,-96.541191,42.829891,IA,Plymouth County,Akron-Westfield School District,1999
14,1.574272012,1.5,1.049514675,1.5,377415.4237,245336.311,132079.1127,-93.454850119665707,43.0707625388558,IA,Cerro Gordo County,Cerro Gordo/Hawkeye Power/Clear Lake,1999
15,99.87431344,109.5,0.912094187,109.5,27153246.25,17097626.28,10055619.98,-95.3343795287331,42.6981705316609,IA,Buena Vista County,Storm Lake I,1999
16,76.98981305,81,0.950491519,81,20867207.08,12915813.09,7951393.991,-95.372616233338,42.7965312271275,IA,Buena Vista County,Storm Lake II,1999
17,1.42077928,1.5,0.947186186,1.5,379068.9915,237474.0689,141594.9227,-95.263759999927,42.6876870055829,IA,Buena Vista County,Waverly,1999
18,8.857914861,9.9,0.894738875,9.9,2520969.169,1533219.686,987749.4831,-96.1312464262268,44.1250051039451,MN,Pipestone County,Tholen & Petersen,2005
19,7.161389154,8.25,0.86804717,8.25,2180083.386,1260109.79,919973.5967,-96.433318265942,44.3831087638811,MN,Lincoln County,Lakota Ridge,1999
20,0.683999162,0.75,0.911998883,0.75,193365.3484,116174.0296,77191.31884,-96.734795,46.895092,MN,Clay County,Moorhead,1999
21,12.25738482,11.88,1.031766399,11.88,2839215.976,1936384.309,902831.6663,-96.4311477213016,44.3977205050815,MN,Lincoln County,Shaokatan Hills,1999
22,0.542558095,0.66,0.822057719,0.66,158302.0943,98811.93871,59490.15557,-103.056976,34.360142,NM,Curry County,Llano Estacado Wind Ranch at Texico,1999
23,31.2756995,28.38,1.102033104,28.38,6650729.605,4767119.079,1883610.526,-101.403629437458,32.1898436459439,TX,Howard County,Big Spring I,1999
24,15.30100338,11.22,1.363725791,11.22,3770173.879,2056980.29,1713193.59,-87.642317479055,44.654382979117,WI,Kewaunee County,Rosiere Wind Farm,1999
25,0,24.75,0,21.4132049,4128803.8,2412346.645,1716457.154,-106.184491475421,41.6641931665424,WY,Carbon County,Foote Creek 3,1999
