"pid","p_name","p_year","t_cap","t_count","t_rd","slr_cpc","wnd_cpc","slr_wn","tx_cpct","revenue","cost","profit","lon","lat","t_state","t_county","fips","county","state","env_sens_score","dac_sts","energy_brdn","foss_emplmt","coal_emplmt","outage_n","outage_dur","rci","energy_community","sid","lines","max_volt","min_volt","distance_m","distance_km"
1,"Traverse City",1996,600,1,44,0.67022141,0.6,1.117035684,0.6,234259.3974,101112.8123,133146.5851,-85.690193,44.776993,"MI","Leelanau County",26089,"Leelanau County","MI",10,0,5,0.000801,0.000249,1,278,82,0,145690,3,138,138,10539.6886264589,10.5396886264589
2,"Green Mountain Power",1997,550,11,40,8.086962382,6.05,1.336687997,6.05,2198378.982,1103430.945,1094948.037,-72.962913493316,42.8617782708838,"VT","Bennington County",50003,"Bennington County","VT",10,0,5,0,0,0,0,91,0,135584,2,115,115,11931.7177677612,11.9317177677612
3,"IDGWP",1998,750,3,50,0.854988409,2.25,0.379994849,2.25,509210.6647,281440.5832,227770.0814,-94.1408333390408,43.0349016667702,"IA","Kossuth County",19109,"Kossuth County","IA",1,0,5,6e-04,0.00025,0,0,66,0,130508,2,161,161,43802.3882261827,43.8023882261827
4,"Lake Benton I",1998,750,139,48,90.54091028,104.25,0.86849794,104.25,26100611.91,15970438.59,10130173.32,-96.3778812101317,44.3245535329593,"MN","Lincoln County",27081,"Lincoln County","MN",10,0,5,0.000505,0.000505,0,0,67,0,132492,3,115,115,13385.9341394527,13.3859341394527
5,"Lincoln Wind Energy Facility",1998,660,2,47,1.227316622,1.32,0.92978532,1.32,339081.3599,205883.225,133198.1349,-96.6248245055821,40.9037610100505,"NE","Lancaster County",31109,"Lancaster County","NE",1,0,2,0.000468,0.000468,0,0,96,0,131907,5,161,115,367.550696973839,0.367550696973839
6,"Vansycle I",1998,660,38,47,28.00379472,25.08,1.116578737,25.08,7070084.512,4214738.521,2855345.992,-118.639662410473,45.9317043280634,"OR","Umatilla County",41059,"Umatilla County","OR",10,0,3,0.000248,0.000248,1,399,89,0,202431,2,230,230,5114.95140174977,5.11495140174977
7,"Medicine Bow",1998,650,2,42,0,1.3,0,1.124733995,181568.6516,126613.6019,54955.04965,-106.247237997006,41.8402420013071,"WY","Carbon County",56007,"Carbon County","WY",25,0,2,0.010616,0.003673,0,0,68,1,204224,2,245,230,335.675400726657,0.335675400726657
8,"Cabazon",1999,750,51,50,17.58456734,38.25,0.459727251,38.25,10330324.04,4843963.986,5486360.058,-116.710015078108,33.914217291311,"CA","Riverside County",6065,"Riverside County","CA",55,0,2,0.000561,0.000476,7,8846,94,0,307979,3,115,115,1526.62292401761,1.52662292401761
9,"Cameron Ridge",1999,700,17,44,3.397729002,11.9,0.285523446,11.9,3986321.087,1401731.825,2584589.262,-118.314636480555,35.0781826310996,"CA","Kern County",6029,"Kern County","CA",10,0,3,0.006322,0.001217,16,21867,89,0,306225,4,500,220,26850.8991152283,26.8508991152283
10,"Enron Earth Smart/Green Power",1999,750,19,50,12.77158644,14.25,0.89625168,14.25,5031832.453,2193248.424,2838584.029,-116.573809813245,33.9158663543466,"CA","Riverside County",6065,"Riverside County","CA",1,0,2,0.000561,0.000476,7,8846,94,0,303773,1,115,115,851.223774194916,0.851223774194916
11,"Oak Creek Wind Power Phase 2",1999,700,33,48,7.631973785,23.1,0.330388476,23.1,7028037.771,2774368.095,4253669.676,-118.361703093603,35.0342534820203,"CA","Kern County",6029,"Kern County","CA",1,0,3,0.006322,0.001217,16,21867,89,0,306225,4,500,220,20715.5793203853,20.7155793203853
12,"San Gorgonio Westwinds II LLC",1999,700,62,48,51.56919106,43.4,1.188230209,43.4,14039927.35,7475545.109,6564382.243,-116.571908015412,33.8981045441132,"CA","Riverside County",6065,"Riverside County","CA",15,0,2,0.000561,0.000476,7,8846,94,0,307731,1,115,115,1550.53780040829,1.55053780040829
13,"Akron-Westfield School District",1999,600,1,44,0.202372864,0.6,0.337288107,0.6,149015.1451,72857.13636,76158.00878,-96.541191,42.829891,"IA","Plymouth County",19149,"Plymouth County","IA",10,0,3,0.000366,0,0,0,79,0,130484,5,345,230,31714.7227574574,31.7147227574574
14,"Cerro Gordo/Hawkeye Power/Clear Lake",1999,750,2,48,1.574272012,1.5,1.049514675,1.5,377415.4237,245336.311,132079.1127,-93.4548501196657,43.0707625388558,"IA","Cerro Gordo County",19033,"Cerro Gordo County","IA",1,0,4,0.000335,0.000335,0,0,88,0,130513,1,161,161,1475.34242814842,1.47534242814842
15,"Storm Lake I",1999,750,146,50,99.87431344,109.5,0.912094187,109.5,27153246.25,17097626.28,10055619.98,-95.3343795287331,42.6981705316609,"IA","Buena Vista County",19021,"Buena Vista County","IA",1,0,4,6e-04,0.00025,0,0,87,0,130492,3,161,161,16090.0943120929,16.0900943120929
16,"Storm Lake II",1999,750,108,50,76.98981305,81,0.950491519,81,20867207.08,12915813.09,7951393.991,-95.372616233338,42.7965312271275,"IA","Buena Vista County",19021,"Buena Vista County","IA",1,0,4,6e-04,0.00025,0,0,87,0,130492,3,161,161,27260.2125017875,27.2602125017875
17,"Waverly",1999,750,2,50,1.42077928,1.5,0.947186186,1.5,379068.9915,237474.0689,141594.9227,-95.263759999927,42.6876870055829,"IA","Buena Vista County",19021,"Buena Vista County","IA",1,0,4,6e-04,0.00025,0,0,87,0,130492,3,161,161,15800.9491129555,15.8009491129555
18,"Tholen & Petersen",2005,1650,6,82,8.857914861,9.9,0.894738875,9.9,2520969.169,1533219.686,987749.4831,-96.1312464262268,44.1250051039451,"MN","Pipestone County",27117,"Pipestone County","MN",30,0,5,0.000505,0.000505,0,0,67,0,138628,3,115,115,13807.5582001333,13.8075582001333
19,"Lakota Ridge",1999,750,11,48,7.161389154,8.25,0.86804717,8.25,2180083.386,1260109.79,919973.5967,-96.433318265942,44.3831087638811,"MN","Lincoln County",27081,"Lincoln County","MN",30,0,5,0.000505,0.000505,0,0,67,0,138638,2,345,345,8159.46555335337,8.15946555335337
20,"Moorhead",1999,750,1,48,0.683999162,0.75,0.911998883,0.75,193365.3484,116174.0296,77191.31884,-96.734795,46.895092,"MN","Clay County",27027,"Clay County","MN",10,0,2,0.000341,0.000341,0,0,93,0,130187,2,115,115,860.115689470261,0.860115689470261
21,"Shaokatan Hills",1999,660,18,47,12.25738482,11.88,1.031766399,11.88,2839215.976,1936384.309,902831.6663,-96.4311477213016,44.3977205050815,"MN","Lincoln County",27081,"Lincoln County","MN",10,0,5,0.000505,0.000505,0,0,67,0,138638,2,345,345,8227.24282295505,8.22724282295505
22,"Llano Estacado Wind Ranch at Texico",1999,660,1,47,0.542558095,0.66,0.822057719,0.66,158302.0943,98811.93871,59490.15557,-103.056976,34.360142,"NM","Curry County",35009,"Curry County","NM",10,0,3,0.017882,0.001407,0,0,86,0,318070,2,115,115,6357.62328815974,6.35762328815974
23,"Big Spring I",1999,660,43,47,31.2756995,28.38,1.102033104,28.38,6650729.605,4767119.079,1883610.526,-101.403629437458,32.1898436459439,"TX","Howard County",48227,"Howard County","TX",10,0,4,0,0,0,0,84,0,310180,3,138,138,15367.408750358,15.367408750358
