"pid","p_name","p_year","t_cap","t_count","slr_cpc","wnd_cpc","slr_wn","tx_cpct","revenue","cost","profit","fips","county","state","region","env_sens_score","dac_sts","energy_brdn","foss_emplmt","coal_emplmt","outage_n","outage_dur","rci","energy_community","max_volt","min_volt","distance_km","lon","lat"
1,"Traverse City",1996,600,1,0.67022141,0.6,1.117035684,0.6,234259.3974,101112.8123,133146.5851,26089,"Leelanau County","MI","East North Central",10,0,5,0.000801,0.000249,1,278,82,0,138,138,10.5396886264589,-85.690193,44.776993
2,"Green Mountain Power",1997,550,11,8.086962382,6.05,1.336687997,6.05,2198378.982,1103430.945,1094948.037,50003,"Bennington County","VT","New England",10,0,5,0,0,0,0,91,0,115,115,11.9317177677612,-72.962913493316,42.8617782708838
3,"IDGWP",1998,750,3,0.854988409,2.25,0.379994849,2.25,509210.6647,281440.5832,227770.0814,19109,"Kossuth County","IA","West North Central",1,0,5,6e-04,0.00025,0,0,66,0,161,161,43.8023882261827,-94.1408333390408,43.0349016667702
4,"Lake Benton I",1998,750,139,90.54091028,104.25,0.86849794,104.25,26100611.91,15970438.59,10130173.32,27081,"Lincoln County","MN","West North Central",10,0,5,0.000505,0.000505,0,0,67,0,115,115,13.3859341394527,-96.3778812101317,44.3245535329593
5,"Lincoln Wind Energy Facility",1998,660,2,1.227316622,1.32,0.92978532,1.32,339081.3599,205883.225,133198.1349,31109,"Lancaster County","NE","West North Central",1,0,2,0.000468,0.000468,0,0,96,0,161,115,0.367550696973839,-96.6248245055821,40.9037610100505
6,"Vansycle I",1998,660,38,28.00379472,25.08,1.116578737,25.08,7070084.512,4214738.521,2855345.992,41059,"Umatilla County","OR","Pacific",10,0,3,0.000248,0.000248,1,399,89,0,230,230,5.11495140174977,-118.639662410473,45.9317043280634
8,"Cabazon",1999,750,51,17.58456734,38.25,0.459727251,38.25,10330324.04,4843963.986,5486360.058,6065,"Riverside County","CA","Pacific",55,0,2,0.000561,0.000476,7,8846,94,0,115,115,1.52662292401761,-116.710015078108,33.914217291311
9,"Cameron Ridge",1999,700,17,3.397729002,11.9,0.285523446,11.9,3986321.087,1401731.825,2584589.262,6029,"Kern County","CA","Pacific",10,0,3,0.006322,0.001217,16,21867,89,0,500,220,26.8508991152283,-118.314636480555,35.0781826310996
10,"Enron Earth Smart/Green Power",1999,750,19,12.77158644,14.25,0.89625168,14.25,5031832.453,2193248.424,2838584.029,6065,"Riverside County","CA","Pacific",1,0,2,0.000561,0.000476,7,8846,94,0,115,115,0.851223774194916,-116.573809813245,33.9158663543466
11,"Oak Creek Wind Power Phase 2",1999,700,33,7.631973785,23.1,0.330388476,23.1,7028037.771,2774368.095,4253669.676,6029,"Kern County","CA","Pacific",1,0,3,0.006322,0.001217,16,21867,89,0,500,220,20.7155793203853,-118.361703093603,35.0342534820203
12,"San Gorgonio Westwinds II LLC",1999,700,62,51.56919106,43.4,1.188230209,43.4,14039927.35,7475545.109,6564382.243,6065,"Riverside County","CA","Pacific",15,0,2,0.000561,0.000476,7,8846,94,0,115,115,1.55053780040829,-116.571908015412,33.8981045441132
13,"Akron-Westfield School District",1999,600,1,0.202372864,0.6,0.337288107,0.6,149015.1451,72857.13636,76158.00878,19149,"Plymouth County","IA","West North Central",10,0,3,0.000366,0,0,0,79,0,345,230,31.7147227574574,-96.541191,42.829891
14,"Cerro Gordo/Hawkeye Power/Clear Lake",1999,750,2,1.574272012,1.5,1.049514675,1.5,377415.4237,245336.311,132079.1127,19033,"Cerro Gordo County","IA","West North Central",1,0,4,0.000335,0.000335,0,0,88,0,161,161,1.47534242814842,-93.4548501196657,43.0707625388558
15,"Storm Lake I",1999,750,146,99.87431344,109.5,0.912094187,109.5,27153246.25,17097626.28,10055619.98,19021,"Buena Vista County","IA","West North Central",1,0,4,6e-04,0.00025,0,0,87,0,161,161,16.0900943120929,-95.3343795287331,42.6981705316609
16,"Storm Lake II",1999,750,108,76.98981305,81,0.950491519,81,20867207.08,12915813.09,7951393.991,19021,"Buena Vista County","IA","West North Central",1,0,4,6e-04,0.00025,0,0,87,0,161,161,27.2602125017875,-95.372616233338,42.7965312271275
17,"Waverly",1999,750,2,1.42077928,1.5,0.947186186,1.5,379068.9915,237474.0689,141594.9227,19021,"Buena Vista County","IA","West North Central",1,0,4,6e-04,0.00025,0,0,87,0,161,161,15.8009491129555,-95.263759999927,42.6876870055829
18,"Tholen & Petersen",2005,1650,6,8.857914861,9.9,0.894738875,9.9,2520969.169,1533219.686,987749.4831,27117,"Pipestone County","MN","West North Central",30,0,5,0.000505,0.000505,0,0,67,0,115,115,13.8075582001333,-96.1312464262268,44.1250051039451
19,"Lakota Ridge",1999,750,11,7.161389154,8.25,0.86804717,8.25,2180083.386,1260109.79,919973.5967,27081,"Lincoln County","MN","West North Central",30,0,5,0.000505,0.000505,0,0,67,0,345,345,8.15946555335337,-96.433318265942,44.3831087638811
20,"Moorhead",1999,750,1,0.683999162,0.75,0.911998883,0.75,193365.3484,116174.0296,77191.31884,27027,"Clay County","MN","West North Central",10,0,2,0.000341,0.000341,0,0,93,0,115,115,0.860115689470261,-96.734795,46.895092
21,"Shaokatan Hills",1999,660,18,12.25738482,11.88,1.031766399,11.88,2839215.976,1936384.309,902831.6663,27081,"Lincoln County","MN","West North Central",10,0,5,0.000505,0.000505,0,0,67,0,345,345,8.22724282295505,-96.4311477213016,44.3977205050815
22,"Llano Estacado Wind Ranch at Texico",1999,660,1,0.542558095,0.66,0.822057719,0.66,158302.0943,98811.93871,59490.15557,35009,"Curry County","NM","Mountain",10,0,3,0.017882,0.001407,0,0,86,0,115,115,6.35762328815974,-103.056976,34.360142
23,"Big Spring I",1999,660,43,31.2756995,28.38,1.102033104,28.38,6650729.605,4767119.079,1883610.526,48227,"Howard County","TX","West South Central",10,0,4,0,0,0,0,84,0,138,138,15.367408750358,-101.403629437458,32.1898436459439
24,"Rosiere Wind Farm",1999,660,17,15.30100338,11.22,1.363725791,11.22,3770173.879,2056980.29,1713193.59,55061,"Kewaunee County","WI","East North Central",30,0,3,0.000136,0.000136,1,63,81,0,138,138,2.75048715163647,-87.642317479055,44.654382979117
26,"Foote Creek Rim II",1999,600,2,0.241912793,1.2,0.201593994,1.2,264218.1565,132476.6093,131741.5472,56007,"Carbon County","WY","Mountain",10,0,2,0.010616,0.003673,0,0,68,1,230,134,0.510044039362967,-106.189265999978,41.6571430000001
27,"Medicine Bow",1999,710,5,0.712028579,3.55,0.200571431,3.55,769491.2422,391651.5413,377839.7009,56007,"Carbon County","WY","Mountain",25,0,2,0.010616,0.003673,0,0,68,1,245,230,0.402014115700436,-106.242718186274,41.8347566152895
28,"North Shaokatan Wind Farm",2000,660,18,6.227434134,11.88,0.524194792,11.88,2923158.527,1559145.61,1364012.917,27081,"Lincoln County","MN","West North Central",10,0,5,0.000505,0.000505,0,0,67,0,345,345,8.48703577114768,-96.4344168812797,44.4215857865122
29,"Madison Windpower",2000,1650,7,15.10811064,11.55,1.308061527,11.55,4211376.801,2074891.472,2136485.329,36053,"Madison County","NY","Mid Atlantic",1,0,3,0.000551,0.000551,0,0,91,0,115,115,0.258460614573218,-75.4523106619561,42.8946914099428
30,"Wethersfield",2000,660,10,8.491785686,6.6,1.286634195,6.6,2100377.396,1177759.075,922618.3207,36121,"Wyoming County","NY","Mid Atlantic",1,0,4,0.001117,0.001024,0,0,68,0,230,230,2.047928796263,-78.2453523156525,42.6831222850808
31,"Buffalo Mountain (Windrock)",2000,660,3,2.397569481,1.98,1.210893677,1.98,651609.3644,343660.9463,307948.4181,47001,"Anderson County","TN","East South Central",10,0,3,0.000648,0.000559,0,0,80,1,161,161,0.31744783853253,-84.3386866641461,36.1207823335075
32,"Foote Creek 4",2000,600,29,11.36649166,17.4,0.653246647,17.4,3404254.101,2415901.533,988352.5679,56007,"Carbon County","WY","Mountain",25,0,2,0.010616,0.003673,0,0,68,1,230,134,2.64053729883445,-106.179818499938,41.6750023158585
33,"Medicine Bow",2000,710,2,0.28447848,1.42,0.200336958,1.42,312403.9438,156704.4339,155699.5099,56007,"Carbon County","WY","Mountain",25,0,2,0.010616,0.003673,0,0,68,1,245,230,0.962185489956445,-106.240241996874,41.8300630004666
34,"Mountain View Power Partners I & II",2001,600,108,29.79032585,64.8,0.459727251,64.8,17500820.42,8212459.856,9288360.559,6065,"Riverside County","CA","Pacific",1,0,2,0.000561,0.000476,7,8846,94,0,115,115,2.70648719245632,-116.600409297243,33.9044374496305
35,"Peetz Table Wind Farm",2001,900,33,6.146420102,29.7,0.206950172,29.7,7405958.365,3288947.205,4117011.16,8075,"Logan County","CO","Mountain",15,0,6,0.000925,0.00036,0,0,89,0,230,115,0.58974616625406,-103.160903488984,40.9449117384998
36,"Ponnequin (PSCo)",2001,660,15,6.464290923,9.9,0.652958679,9.9,1865671.163,1372802.888,492868.2749,8123,"Weld County","CO","Mountain",10,0,2,0.012439,0.002143,0,0,93,0,115,115,0.673120203412088,-104.802904310032,40.9955648642568
37,"Top of Iowa",2001,900,89,77.28111711,80.1,0.964807954,80.1,18732961.7,12731745.26,6001216.44,19195,"Worth County","IA","West North Central",10,0,5,0.000335,0.000335,0,0,77,0,161,161,10.0058287919954,-93.4133897445658,43.3667273934757
38,"Gray County Wind Farm Montezuma)",2001,660,170,94.15833022,112.2,0.839200804,112.2,26322539.43,17082938.95,9239600.48,20069,"Gray County","KS","West North Central",10,0,3,0.002347,0.000546,0,0,64,0,115,115,24.39322628303,-100.383000691492,37.6129896036577
39,"Hull I",2001,660,1,0.891051275,0.66,1.35007769,0.66,261109.095,120699.2795,140409.8156,25023,"Plymouth County","MA","New England",128,0,3,0.000447,0.000471,0,0,92,0,115,115,7.67763230515762,-70.922195,42.30439
40,"Mackinaw City (Bay Windpower I)",2001,900,2,1.867415372,1.8,1.037452985,1.8,528163.8836,293339.2109,234824.6726,26047,"Emmet County","MI","East North Central",30,0,5,0.000801,0.000249,0,0,80,0,138,138,3.49010872455784,-84.7399410001022,45.7618025115746
41,"Agassiz Beach",2001,660,2,1.194566868,1.32,0.9049749,1.32,304553.4315,206617.2401,97936.19135,27027,"Clay County","MN","West North Central",30,0,2,0.000341,0.000341,0,0,93,0,115,115,26.3152015596742,-96.435493,47.002392
42,"Champepaden, Chandler Hills Phase II",2001,660,3,1.886223642,1.98,0.952638203,1.98,467655.1944,312205.3646,155449.8298,27101,"Murray County","MN","West North Central",10,0,4,0.000505,0.000505,0,0,68,0,115,115,3.77133276978327,-95.9556603017851,43.9202256979163
43,"Kas Farms",2001,750,2,1.360137085,1.5,0.906758056,1.5,387725.8727,233823.7835,153902.0893,27117,"Pipestone County","MN","West North Central",25,0,5,0.000505,0.000505,0,0,67,0,115,115,16.9988408186047,-96.1139679943074,44.0123155065012
44,"Lakeview Ridge",2001,900,1,0.809538043,0.9,0.899486714,0.9,232319.9589,139513.7661,92806.19282,27081,"Lincoln County","MN","West North Central",1,0,5,0.000505,0.000505,0,0,67,0,345,345,11.9302373877557,-96.450592,44.520393
45,"Metro Wind, LLC",2001,660,1,0.589834634,0.66,0.89368884,0.66,168442.1024,102327.3479,66114.75445,27141,"Sherburne County","MN","West North Central",1,0,2,0.000704,0.000578,2,2814,85,0,115,115,16.7168694168114,-93.560692,45.378792
46,"Moulton, Chandler Hills Wind Farm Phase II",2001,660,3,2.014895205,1.98,1.017623841,1.98,461196.5947,320522.4496,140674.1451,27101,"Murray County","MN","West North Central",1,0,4,0.000505,0.000505,0,0,68,0,115,115,5.39871813476278,-95.9510270287161,43.9006923444042
47,"Ruthton Wind Farm",2001,660,24,14.13156439,15.84,0.892144216,15.84,4118326.987,2437567.835,1680759.152,27081,"Lincoln County","MN","West North Central",30,0,5,0.000505,0.000505,0,0,67,0,115,115,3.7030818732554,-96.2194774893097,44.2223236954035
